종목코드,종목명,시가총액
5930,삼성전자,8.56E+14
660,SK하이닉스,5.38E+14
5380,현대차,9.49E+13
373220,LG에너지솔루션,9.40E+13
207940,삼성바이오로직스,8.91E+13
5935,삼성전자우,8.64E+13
12450,한화에어로스페이스,6.87E+13
329180,HD현대중공업,6.63E+13
270,기아,6.34E+13
34020,두산에너빌리티,5.94E+13
402340,SK스퀘어,5.65E+13
105560,KB금융,5.08E+13
28260,삼성물산,4.89E+13
68270,셀트리온,4.84E+13
42660,한화오션,4.48E+13
12330,현대모비스,3.99E+13
55550,신한지주,3.92E+13
35420,NAVER,3.80E+13
15760,한국전력,3.77E+13
32830,삼성생명,3.46E+13
10130,고려아연,3.36E+13
267260,HD현대일렉트릭,3.25E+13
9540,HD한국조선해양,3.08E+13
5490,POSCO홀딩스,2.83E+13
86790,하나금융지주,2.75E+13
10140,삼성중공업,2.69E+13
6400,삼성SDI,2.64E+13
35720,카카오,2.58E+13
51910,LG화학,2.39E+13
64350,현대로템,2.39E+13
810,삼성화재,2.24E+13
298040,효성중공업,2.13E+13
9150,삼성전기,2.09E+13
34730,SK,2.07E+13
316140,우리금융지주,2.06E+13
267250,HD현대,1.99E+13
11200,HMM,1.92E+13
86280,현대글로비스,1.91E+13
138040,메리츠금융지주,1.86E+13
3670,포스코퓨처엠,1.84E+13
96770,SK이노베이션,1.82E+13
33780,KT&G,1.75E+13
6800,미래에셋증권,1.73E+13
272210,한화시스템,1.72E+13
66570,LG전자,1.67E+13
42700,한미반도체,1.64E+13
24110,기업은행,1.63E+13
47810,한국항공우주,1.63E+13
0126Z0,삼성에피스홀딩스,1.60E+13
352820,하이브,1.58E+13
10120,LS ELECTRIC,1.53E+13
18260,삼성에스디에스,1.39E+13
30200,KT,1.38E+13
3550,LG,1.35E+13
17670,SK텔레콤,1.33E+13
150,두산,1.30E+13
307950,현대오토에버,1.25E+13
79550,LIG넥스원,1.24E+13
720,현대건설,1.18E+13
259960,크래프톤,1.15E+13
47050,포스코인터내셔널,1.10E+13
323410,카카오뱅크,1.02E+13
10950,S-Oil,1.00E+13
71050,한국금융지주,1.00E+13
5387,현대차2우B,1.00E+13
326030,SK바이오팜,9.40E+12
880,한화,9.18E+12
278470,에이피알,9.15E+12
3230,삼양식품,8.98E+12
5830,DB손해보험,8.92E+12
3490,대한항공,8.86E+12
39490,키움증권,8.65E+12
100,유한양행,8.59E+12
180640,한진칼,8.46E+12
443060,HD현대마린솔루션,8.42E+12
7660,이수페타시스,8.14E+12
5940,NH투자증권,8.02E+12
161390,한국타이어앤테크놀로지,7.94E+12
454910,두산로보틱스,7.37E+12
16360,삼성증권,7.34E+12
90430,아모레퍼시픽,7.04E+12
377300,카카오페이,6.93E+12
6260,LS,6.82E+12
64400,LG씨엔에스,6.75E+12
32640,LG유플러스,6.56E+12
11070,LG이노텍,6.52E+12
5385,현대차우,6.45E+12
22100,포스코DX,6.22E+12
29780,삼성카드,6.21E+12
34220,LG디스플레이,6.19E+12
241560,두산밥캣,5.81E+12
128940,한미약품,5.75E+12
78930,GS,5.60E+12
21240,코웨이,5.54E+12
1040,CJ,5.51E+12
88980,맥쿼리인프라,5.48E+12
52690,한전기술,5.25E+12
36570,엔씨소프트,5.10E+12
28050,삼성E&A,4.94E+12
1440,대한전선,4.81E+12
9830,한화솔루션,4.79E+12
138930,BNK금융지주,4.71E+12
66970,엘앤에프,4.70E+12
82740,한화엔진,4.57E+12
271560,오리온,4.55E+12
175330,JB금융지주,4.45E+12
251270,넷마블,4.35E+12
450080,에코프로머티,4.33E+12
62040,산일전기,4.27E+12
11790,SKC,4.20E+12
4020,현대제철,4.16E+12
51900,LG생활건강,4.08E+12
302440,SK바이오사이언스,3.86E+12
2380,KCC,3.85E+12
11780,금호석유화학,3.84E+12
35250,강원랜드,3.82E+12
990,DB하이텍,3.74E+12
111770,영원무역,3.70E+12
36460,한국가스공사,3.69E+12
17800,현대엘리베이터,3.63E+12
103140,풍산,3.53E+12
31210,서울보증보험,3.39E+12
18880,한온시스템,3.27E+12
97950,CJ제일제당,3.18E+12
71970,HD현대마린엔진,3.18E+12
11170,롯데케미칼,3.17E+12
12750,에스원,3.04E+12
4990,롯데지주,3.02E+12
12510,더존비즈온,2.99E+12
204320,HL만도,2.97E+12
103590,일진전기,2.89E+12
14680,한솔케미칼,2.88E+12
88350,한화생명,2.77E+12
8930,한미사이언스,2.77E+12
9420,한올바이오파마,2.69E+12
4170,신세계,2.68E+12
489790,한화비전,2.66E+12
439260,대한조선,2.65E+12
1430,세아베스틸지주,2.64E+12
42670,HD현대인프라코어,2.61E+12
4800,효성,2.58E+12
51600,한전KPS,2.58E+12
26960,동서,2.57E+12
240,한국앤컴퍼니,2.56E+12
9970,영원무역홀딩스,2.54E+12
457190,이수스페셜티케미컬,2.51E+12
4370,농심,2.51E+12
383220,F&F,2.51E+12
1720,신영증권,2.51E+12
336260,두산퓨얼셀,2.46E+12
353200,대덕전자,2.46E+12
1450,현대해상,2.44E+12
81660,미스토홀딩스,2.39E+12
30000,제일기획,2.38E+12
11210,현대위아,2.32E+12
139480,이마트,2.32E+12
28670,팬오션,2.31E+12
5850,에스엘,2.29E+12
139130,iM금융지주,2.26E+12
97230,HJ중공업,2.25E+12
120,CJ대한통운,2.20E+12
3690,코리안리,2.17E+12
23530,롯데쇼핑,2.13E+12
69960,현대백화점,2.13E+12
10060,OCI홀딩스,2.12E+12
18670,SK가스,2.10E+12
192820,코스맥스,2.08E+12
2790,아모레퍼시픽홀딩스,2.06E+12
361610,SK아이이테크놀로지,2.05E+12
282330,BGF리테일,2.03E+12
462870,시프트업,2.02E+12
267270,HD현대건설기계,2.02E+12
155,두산우,1.98E+12
47040,대우건설,1.97E+12
69620,대웅제약,1.93E+12
6280,녹십자,1.85E+12
17960,한국카본,1.84E+12
6040,동원산업,1.83E+12
8770,호텔신라,1.81E+12
3570,SNT다이내믹스,1.80E+12
20150,롯데에너지머티리얼즈,1.79E+12
73240,금호타이어,1.76E+12
7070,GS리테일,1.76E+12
23590,다우기술,1.75E+12
483650,달바글로벌,1.74E+12
00680K,미래에셋증권2우B,1.73E+12
32350,롯데관광개발,1.73E+12
112610,씨에스윈드,1.70E+12
395400,SK리츠,1.69E+12
375500,DL이앤씨,1.66E+12
6360,GS건설,1.61E+12
20560,아시아나항공,1.60E+12
85620,미래에셋생명,1.59E+12
34230,파라다이스,1.59E+12
7310,오뚜기,1.55E+12
500,가온전선,1.54E+12
161890,한국콜마,1.52E+12
484870,엠앤씨솔루션,1.50E+12
5070,코스모신소재,1.48E+12
77970,STX엔진,1.48E+12
1120,LX인터내셔널,1.46E+12
7340,DN오토모티브,1.42E+12
7810,코리아써키트,1.41E+12
3540,대신증권,1.38E+12
294870,HDC현대산업개발,1.35E+12
3090,대웅,1.32E+12
1800,오리온홀딩스,1.31E+12
51915,LG화학우,1.30E+12
5440,현대지에프홀딩스,1.30E+12
80,하이트진로,1.26E+12
249420,일동제약,1.26E+12
298020,효성티앤씨,1.26E+12
100090,SK오션플랜트,1.25E+12
71320,지역난방공사,1.24E+12
330590,롯데리츠,1.24E+12
300720,한일시멘트,1.24E+12
415640,KB발해인프라,1.22E+12
5300,롯데칠성,1.20E+12
120110,코오롱인더,1.19E+12
229640,LS에코에너지,1.18E+12
185750,종근당,1.17E+12
285130,SK케미칼,1.17E+12
30610,교보증권,1.16E+12
4000,롯데정밀화학,1.16E+12
815,삼성화재우,1.15E+12
75580,세진중공업,1.14E+12
6120,SK디스커버리,1.13E+12
82640,동양생명,1.11E+12
192080,더블유게임즈,1.09E+12
89860,롯데렌탈,1.09E+12
365550,ESR켄달스퀘어리츠,1.08E+12
3530,한화투자증권,1.07E+12
9240,한샘,1.05E+12
6650,대한유화,1.04E+12
137310,에스디바이오센서,1.03E+12
280360,롯데웰푸드,1.02E+12
181710,NHN,1.02E+12
1740,SK네트웍스,1.01E+12
12630,HDC,1.01E+12
79160,CJ CGV,1.00E+12
64960,SNT모티브,1.00E+12
192400,쿠쿠홀딩스,9.80E+11
30190,NICE평가정보,9.76E+11
00088K,한화3우B,9.62E+11
670,영풍,9.56E+11
298050,HS효성첨단소재,9.23E+11
36530,SNT홀딩스,9.21E+11
66575,LG전자우,8.97E+11
4490,세방전지,8.83E+11
317450,명인제약,8.76E+11
195870,해성디에스,8.69E+11
108320,LX세미콘,8.44E+11
114090,GKL,8.36E+11
3240,태광산업,8.35E+11
9450,경동나비엔,8.26E+11
499790,GS피앤엘,8.16E+11
93370,후성,8.11E+11
2350,넥센타이어,8.06E+11
71055,한국금융지주우,7.96E+11
3850,보령,7.93E+11
100840,SNT에너지,7.90E+11
3160,디아이,7.90E+11
281820,케이씨텍,7.88E+11
5690,파미셀,7.87E+11
451800,한화리츠,7.81E+11
3470,유안타증권,7.78E+11
210,DL,7.71E+11
7700,F&F홀딩스,7.69E+11
1680,대상,7.55E+11
69260,TKG휴켐스,7.49E+11
214320,이노션,7.47E+11
248070,솔루엠,7.41E+11
381970,케이카,7.39E+11
25540,한국단자,7.35E+11
5180,빙그레,7.26E+11
